ORIGINAL_ITEM_NAME,RECOMENDED_ITEM_NAME,LIFT,COSINE_SIMILARITY
JS House Malbec 225cl,JS Soft White Farmhouse 800g,0.0,0.46278983
JS House Malbec 225cl,JS House Cabernet Sauvignon 225cl,0.0,0.4339093
JS House Malbec 225cl,JS ADW Ultimate Lem 262g 20 washes,0.0,0.41970134
Gourmet mon petit tuna/salmn/trout 6x50g,Go-Cat adult tuna herring & veg 750g,0.0,0.48955885
Gourmet mon petit tuna/salmn/trout 6x50g,Gourmet Gold ocean fish paté 85g,0.0,0.48712984
Gourmet mon petit tuna/salmn/trout 6x50g,Gourmet mon petit cod/sard/salmon 6x50g,0.0,0.46847862
Gourmet mon petit tuna/salmn/trout 6x50g,Gourmet mon petit beef/chkn/lamb 6x50g,0.0,0.4357986
JS meaty strips beef x20 200g,JS meaty strips chicken x20 200g,0.0,0.5975402
JS meaty strips beef x20 200g,JS biscuit rolls with beef 550g,0.0,0.48070824
JS meaty strips beef x20 200g,JS deli sausages for dogs x8 60g,0.0,0.43974018
JS meaty strips beef x20 200g,JS comn meat selectn in gravy 12x400g,0.0,0.4342255
Felix mixed selection jelly 40x100g,Felix goody bag original/party mix 200g,0.0,0.4970588
Felix mixed selection jelly 40x100g,Felix AGAIL mixed selectn jelly 40x100g,0.0,0.48667246
Felix mixed selection jelly 40x100g,Felix goody bag seaside mix 200g,0.0,0.47138503
Felix mixed selection jelly 40x100g,Felix goody bag mixed grill 60g,0.0,0.46346143
POLIGRIP FLV FREE DENT FIXATIVE CRM 40G,JS minty fresh dental sticks medium 360g,0.0,0.33578834
POLIGRIP FLV FREE DENT FIXATIVE CRM 40G,JS minty fresh dental sticks large 540g,0.0,0.33188552
POLIGRIP FLV FREE DENT FIXATIVE CRM 40G,JS dental sticks for small dogs x14 220g,0.0,0.32267046
POLIGRIP FLV FREE DENT FIXATIVE CRM 40G,JS dental sticks for large dogs x14 540g,0.0,0.3137318
"JS Bacon, Lettuce & Tomato BLT SW",JS BEANS IN TOMATO SAUCE 400G,0.0,0.47837305
"JS Bacon, Lettuce & Tomato BLT SW",JS deli sausages for dogs x8 60g,0.0,0.43112534
"JS Bacon, Lettuce & Tomato BLT SW",JS 10 British beef slices 115g,0.0,0.4130708
"JS Bacon, Lettuce & Tomato BLT SW",JS meaty strips beef x20 200g,0.0,0.4119083
Felix soup fish selection 6x48g,Felix soup farm selection 6x48g,0.0,0.60486674
Felix soup fish selection 6x48g,Felix AGAIL senior fish selectn 12x100g,0.0,0.5306879
Felix soup fish selection 6x48g,Felix AGAIL vegetable selection 12x100g,0.0,0.507479
Felix soup fish selection 6x48g,Felix AGAIL d/delics fish selctn 12x100g,0.0,0.50188893
JS 6 Wholemeal Muffins,JS Soft White Farmhouse 800g,0.0,0.2662055
JS 6 Wholemeal Muffins,Stamford St 8 Wholemeal Tortilla Wraps,0.0,0.24217674
JS 6 Wholemeal Muffins,Stamford Street White Bread Medium 800g,0.0,0.20262899
Winalot shapes 800g,Winalot perfect portions pouches 40x100g,0.0,0.4151681
Winalot shapes 800g,Wagg low fat treats 125g,0.0,0.32535362
Winalot shapes 800g,Wagg training treats 125g,0.0,0.30062705
Winalot shapes 800g,JS milky bones for small dogs 400g,0.0,0.2307795
Stamford Street Oranges x5,Stamford Street Mayonnaise 500ml,0.0,0.540887
Stamford Street Oranges x5,Stamford Street Apples x6,0.0,0.52117956
Stamford Street Oranges x5,Stamford Street Strawberry &Vanilla Roll,0.0,0.51899266
Stamford Street Oranges x5,Stamford Street Sweetcorn 950g,0.0,0.5131516
Gaviscon Double Action tablets x48,Panadol Advance tablets x16,0.0,0.37840945
Gaviscon Double Action tablets x48,Hubbards Orange Double Con NAS 750ml,0.0,0.25520575
Gaviscon Double Action tablets x48,Dettol antiseptic disinfectant 750ml,0.0,0.24160075
Gaviscon Double Action tablets x48,Tena lady - extra duo pack x20,0.0,0.23956601
Mini Cheds Nibblies Cheese & Chive 6pk,Wotsits Crunchy Cheese,0.0,0.3822136
Mini Cheds Nibblies Cheese & Chive 6pk,Walkers Cheese&Onion 12pk,0.0,0.3739122
Mini Cheds Nibblies Cheese & Chive 6pk,DORITOS TANGY CHEESE 5pk,0.0,0.3359438
Mini Cheds Nibblies Cheese & Chive 6pk,WALKERS QUAVERS CHEESE 12x16g,0.0,0.3127367
GoodBoy compostable poop bags x50,JS dog waste bags x75,0.0,0.49495888
GoodBoy compostable poop bags x50,Winalot perfect portions pouches 40x100g,0.0,0.35603738
GoodBoy compostable poop bags x50,Good Boy chicken strips 100g,0.0,0.3328877
GoodBoy compostable poop bags x50,Good Boy chewy chicken dumbbells 100g,0.0,0.32225034
Sheba fine flakes fish selectn ij 12x85g,Sheba fresh & fine fish in gravy 6x50g,0.0,0.652678
Sheba fine flakes fish selectn ij 12x85g,Sheba fine flakes poultry collctn 12x85g,0.0,0.5730748
Sheba fine flakes fish selectn ij 12x85g,Whiskas 1+ Cat Pouch Fish jelly 40x85g,0.0,0.5209149
Sheba fine flakes fish selectn ij 12x85g,Whiskas 7+ Cat Pouch fish jelly 12x85g,0.0,0.5161196
Bakers sizzlers bacon 90g,Butcher's tripe loaf recipes 12x400g,0.0,0.43619037
Bakers sizzlers bacon 90g,Bakers whirlers 130g,0.0,0.41379273
Bakers sizzlers bacon 90g,JS comn meaty loaf selection 6x400g,0.0,0.35754195
Bakers sizzlers bacon 90g,JS deli sausages for dogs x8 60g,0.0,0.34152395
Hubbards Orange Double Con NAS 750ml,JS NAS Lime Quad 1.5L,0.0,0.33592898
Hubbards Orange Double Con NAS 750ml,JS DIET INDIAN TONIC WATER 1L,0.0,0.16173252
Hubbards Orange Double Con NAS 750ml,Red Bull energy drink 4x250ml,0.0,0.14507052
Stamford Street Peas 850g,Stamford Street White Bread Medium 800g,0.0,0.45822662
Stamford Street Peas 850g,Stamford Street Mixed Vegetables 1kg,0.0,0.45149693
Stamford Street Peas 850g,Stamford St Large Pork Sausages 1kg,0.0,0.4226035
Stamford Street Peas 850g,Hubbard's Strawberry Jam 454g,0.0,0.4182432
Fosters 12x440ml,Fosters 18x440ml,0.0,0.43302673
Fosters 12x440ml,Carling Lager 18x440ml,0.0,0.22079313
Fosters 12x440ml,Budweiser 18x440ml,0.0,0.21287413
Fosters 12x440ml,Stella Artois 18x440ml,0.0,0.20914677
Gourmet Gold senior salmon 8x85g,Webbox salmon & trout tasty stick x6 30g,0.0,0.55089283
Gourmet Gold senior salmon 8x85g,Gourmet mon petit cod/sard/salmon 6x50g,0.0,0.5362095
Gourmet Gold senior salmon 8x85g,Gourmet Gold ocean fish paté 85g,0.0,0.5335245
Gourmet Gold senior salmon 8x85g,Gourmet Gold Delights chicken 8x85g,0.0,0.49540636
Sheba fine flakes poultry collctn 12x85g,Sheba fine flakes fish selectn ij 12x85g,55.931036,0.5133201
Sheba fine flakes poultry collctn 12x85g,Whiskas 1+ Cat Pouch Poultry jel 12x85g,0.0,0.5025522
Sheba fine flakes poultry collctn 12x85g,Whiskas 1+ Cat Pouch Poultry jel 40x85g,0.0,0.49741808
Sheba fine flakes poultry collctn 12x85g,Whiskas 7+ Cat Pouch Poultry JEL 12x85g,0.0,0.49576283
WALKERS MONSTER MUNCH 12pk,Walkers Squares Variety pack 12pk,0.0,0.46098852
WALKERS MONSTER MUNCH 12pk,Walkers Variety 20pk,0.0,0.44238263
WALKERS MONSTER MUNCH 12pk,WALKERS QUAVERS CHEESE 12x16g,0.0,0.4262454
WALKERS MONSTER MUNCH 12pk,WALKERS DORITOS MIXED 12X30G,0.0,0.42557245
Gourmet Gold savoury cake meat/fsh 8x85g,Gourmet Gold Delights chicken 8x85g,0.0,0.5136546
Gourmet Gold savoury cake meat/fsh 8x85g,Gourmet mon petit beef/chkn/lamb 6x50g,0.0,0.41279382
Gourmet Gold savoury cake meat/fsh 8x85g,Webbox turkey & lamb tasty sticks x6 30g,5.018501,0.41266638
Gourmet Gold savoury cake meat/fsh 8x85g,Whiskas temptations chicken & cheese 60g,0.0,0.36318126
ACTIVIA FUSIONS PRUNE YOGURT 4x120g,Activia Fibre Apple Cereals Breakfast G,0.0,0.41894358
ACTIVIA FUSIONS PRUNE YOGURT 4x120g,Activia Fusion Blueberry 4x120g,0.0,0.3710826
ACTIVIA FUSIONS PRUNE YOGURT 4x120g,Activia Fibre Walnut & Oat Breakfast Gu,0.0,0.33623734
ACTIVIA FUSIONS PRUNE YOGURT 4x120g,Yeo Valley Natural Kefir Yoghurt 950g,0.0,0.27871445
Sainsbury's Vodka 70cl,Sainsburys Brandy 70cl,0.0,0.50581706
Sainsbury's Vodka 70cl,Triple Distilled British Vodka 1.5L,0.0,0.5013343
Sainsbury's Vodka 70cl,Triple Distilled British Vodka 1L,0.0,0.49935183
Sainsbury's Vodka 70cl,Courvoisier VS Cognac 70cl,0.0,0.24578992
Wagg training treats 125g,Wagg low fat treats 125g,0.0,0.45138544
Wagg training treats 125g,Wagg steaklets dog treats 125g,0.0,0.3627079
Wagg training treats 125g,JS training treats rich in chicken 125g,0.0,0.26817352
Wagg training treats 125g,Winalot perfect portions pouches 40x100g,0.0,0.19590749
Pick Up Hazelnut,JS CREAM CRACKER 300G,0.0,0.23516934
Pick Up Hazelnut,Kit Kat choc orange 2 finger 9 pack,0.0,0.21138793
Pick Up Hazelnut,Kit Kat 2 Finger Caramel Multipack X9,0.0,0.20397317
Pick Up Hazelnut,Kit Kat 2 Finger Dark Mint 9x20.7g,0.0,0.19049896
JS snack pockets cheese 65g,JS snack pockets with chicken 65g,0.0,0.63213646
JS snack pockets cheese 65g,JS snack pockets with salmon 65g,0.0,0.62307286
JS snack pockets cheese 65g,JS snack pockets with trky/beef/duck 65g,0.0,0.6097424
JS snack pockets cheese 65g,JS snack pockets catnip 65g,0.0,0.5978209
Whiskas 1+ Cat Pouch Poultry jel 40x85g,Whiskas 1+ Cat Pouch Poultry jel 12x85g,0.0,0.74656034
Whiskas 1+ Cat Pouch Poultry jel 40x85g,Whiskas 7+ Cat Pouch Poultry JEL 12x85g,0.0,0.7269688
Whiskas 1+ Cat Pouch Poultry jel 40x85g,Whiskas 1+ dry cat food chicken 800g,0.0,0.5772304
Whiskas 1+ Cat Pouch Poultry jel 40x85g,Whiskas 1+ Cat Pouch Fish jelly 40x85g,0.0,0.5610732
JS 4 boneless cooked chicken breast 480g,JS 10 British chicken breast slices 115g,0.0,0.55705315
JS 4 boneless cooked chicken breast 480g,JS 10 British beef slices 115g,0.0,0.40984195
JS 4 boneless cooked chicken breast 480g,Bernard Matthews Turkey Chunks 80g,0.0,0.26660365
Felix AGAIL senior 40x100g,Felix AGAIL d/delics senior 12x100g,0.0,0.5363009
Felix AGAIL senior 40x100g,Felix AGAIL senior meat selectn 12x100g,0.0,0.51908594
Felix AGAIL senior 40x100g,Felix AGAIL vegetable selection 12x100g,0.0,0.50773275
Felix AGAIL senior 40x100g,Felix AGAIL senior fish selectn 12x100g,0.0,0.49621755
SSTC SOFT CREAM CHEESE 200G,SSTC GREEK STYLE SALAD CHEESE 200G,0.0,0.48801488
SSTC SOFT CREAM CHEESE 200G,Pedigree tasty minis beef & cheese 140g,0.0,0.3787503
SSTC SOFT CREAM CHEESE 200G,Dairy Pride Semi Skimmed UHT Milk 1ltr,0.0,0.37245756
SSTC SOFT CREAM CHEESE 200G,Dairy Pride UHT Skimmed Milk 1l,0.0,0.37018698
Hubbards Peanut Butter 340g,Hubbard'Orange Medium Cut Marmalade 454g,0.0,0.45399728
Hubbards Peanut Butter 340g,Hubbard's Strawberry Jam 454g,0.0,0.44413567
Hubbards Peanut Butter 340g,JS Reduced Sugar Strawberry Jam 415g,0.0,0.30805057
Hubbards Peanut Butter 340g,JS Reduced Salt Yeast Extract 225g,0.0,0.2462828
Felight anti-bacterial cat litter 20L,Felight anti-bacterial cat litter 10L,0.0,0.66041565
Felight anti-bacterial cat litter 20L,JS anti-bac ultra clumping cat litter 8L,0.0,0.45580494
Felight anti-bacterial cat litter 20L,Catsan hygiene cat litter 20L,0.0,0.41708028
Felight anti-bacterial cat litter 20L,Catsan hygiene cat litter 10L,0.0,0.39624974
Whiskas 7+ Cat Pouch fish jelly 12x85g,Whiskas 1+ Cat Pouch Fish jelly 40x85g,0.0,0.6955203
Whiskas 7+ Cat Pouch fish jelly 12x85g,Whiskas 2-12mths Kit Pouch fish 12x85g,0.0,0.616542
Whiskas 7+ Cat Pouch fish jelly 12x85g,Whiskas 1+ Cat Pouch Poultry jel 12x85g,0.0,0.5904355
Whiskas 7+ Cat Pouch fish jelly 12x85g,Whiskas 1+ Cat Pouch Poultry jel 40x85g,2.406334,0.5890853
Cadbury Timeout 6 pack,Stamford Street Digestive Biscuits 400g,0.0,0.30282718
Cadbury Timeout 6 pack,McVitie's Club Orange Chocolate Biscuit,0.0,0.27811313
Cadbury Timeout 6 pack,McVities Gold Bars 7pk,0.0,0.20353553
Cadbury Timeout 6 pack,McVitie's Club  Mint x7,0.0,0.20121898
JS Flame Grilled Pizza Bases x2 300g,JS Stuffed Crust Pepperoni Pizza 424g,0.0,0.47001585
JS Flame Grilled Pizza Bases x2 300g,JS Smoked Ham & Cheddar SW,0.0,0.44449574
JS Flame Grilled Pizza Bases x2 300g,JS Xmas Mixed Nuts 225g,0.0,0.40468204
JS Flame Grilled Pizza Bases x2 300g,JS Steak & Kidney Puff Pastry Pie 150g,0.0,0.38391232
JS 10 British beef slices 115g,JS 10 British chicken breast slices 115g,0.0,0.5566499
JS 10 British beef slices 115g,JS 4 boneless cooked chicken breast 480g,0.0,0.36701334
JS 10 British beef slices 115g,Bernard Matthews Turkey Chunks 80g,0.0,0.3519523
JS Cheese & Onion Quiche 170g,Stamford St Cheese and Onion Quiche 400g,0.0,0.49695855
JS Cheese & Onion Quiche 170g,Js Broccoli Chse/tomato Ind quiche 170g,0.0,0.33896914
JS Cheese & Onion Quiche 170g,JS Cod in Parsley Sauce 400g,0.0,0.3162484
JS Cheese & Onion Quiche 170g,JS Steak & Kidney Puff Pastry Pie 150g,0.0,0.29976803
Webbox salmon & trout tasty stick x6 30g,JS deli sticks salmon & trout x10 50g,0.0,0.5310117
Webbox salmon & trout tasty stick x6 30g,Webbox lick-e-lix salmon 5x15g,0.0,0.50469744
Webbox salmon & trout tasty stick x6 30g,Webbox chckn & liver tasty sticks x6 30g,56.544793,0.49936086
Webbox salmon & trout tasty stick x6 30g,Gourmet Gold senior salmon 8x85g,6.201252,0.47831237
Felix AGAIL d/delics senior 12x100g,Felix AGAIL senior 40x100g,3.218946,0.55764276
Felix AGAIL d/delics senior 12x100g,Felix AGAIL d/delics meaty 12x100g,0.0,0.52854526
Felix AGAIL d/delics senior 12x100g,Felix AGAIL senior meat selectn 12x100g,0.0,0.5202657
Felix AGAIL d/delics senior 12x100g,Felix AGAIL d/delics ocean 12x100g,0.0,0.5078977
Good Boy chicken bites 65g,Good Boy chicken strips 100g,0.0,0.5219282
Good Boy chicken bites 65g,Good Boy chewy chicken dumbbells 100g,0.0,0.47354063
Good Boy chicken bites 65g,Good Boy chicken & calcium bones 100g,0.0,0.46518803
Good Boy chicken bites 65g,Good Boy chewy twists with chicken 90g,0.0,0.45524564
Winalot perfect portions pouches 40x100g,GoodBoy compostable poop bags x50,1.458087,0.30883566
Winalot perfect portions pouches 40x100g,Winalot shapes 800g,4.786889,0.2946074
Winalot perfect portions pouches 40x100g,Pedigree meaty meals in jelly 6x385g,0.0,0.2778128
Winalot perfect portions pouches 40x100g,Good Boy chewy lamb strips 80g,0.0,0.24607065
Sainsburys Brandy 70cl,Sainsbury's Vodka 70cl,9.965843,0.47162244
Sainsburys Brandy 70cl,Triple Distilled British Vodka 1.5L,0.0,0.3509626
Sainsburys Brandy 70cl,Triple Distilled British Vodka 1L,0.0,0.34985435
Sainsburys Brandy 70cl,Courvoisier VS Cognac 70cl,0.0,0.24111901
Bakers whirlers 130g,Bakers sizzlers bacon 90g,41.628834,0.40889803
Bakers whirlers 130g,Butcher's tripe loaf recipes 12x400g,0.0,0.3349499
Bakers whirlers 130g,Bakers allsorts 98g,0.0,0.3260209
Bakers whirlers 130g,JS comn meaty loaf selection 6x400g,0.0,0.28071254
Stamford Street Strawberry &Vanilla Roll,Stamford Street Fairy Cakes X12,0.0,0.45028096
Stamford Street Strawberry &Vanilla Roll,Stamford Street Mini Rolls 102g,0.0,0.44837973
Stamford Street Strawberry &Vanilla Roll,Stamford Street Oranges x5,1.468707,0.44137397
Stamford Street Strawberry &Vanilla Roll,Stamford St Mixed Portions Pack 2kg,0.0,0.43484604
Bonio original 1.2kg,Wagg low fat treats 125g,0.0,0.22560951
Bonio original 1.2kg,JS comn meaty loaf selection 6x400g,0.0,0.2111467
Bonio original 1.2kg,JS minty fresh dental sticks large 540g,0.0,0.20634598
Bonio original 1.2kg,JS deli tripe sticks x15 90g,0.0,0.20600234
JS Lamb Breast CW,JS Lambs Liver CW,0.0,0.49072737
JS Lamb Breast CW,JS Roast Lamb Dinner 400g,0.0,0.45417738
JS Lamb Breast CW,JS 10 British chicken breast slices 115g,0.0,0.44393364
JS Lamb Breast CW,JS 4 boneless cooked chicken breast 480g,0.0,0.42151183
Birra Moretti Can 10x330ml,Birra Moretti 660ml,0.0,0.34641027
Birra Moretti Can 10x330ml,Stella Artois 18x440ml,0.0,0.34632283
Birra Moretti Can 10x330ml,Peroni 18x330ml,0.0,0.25214696
Birra Moretti Can 10x330ml,Kronenbourg 1664 15x440ml,0.0,0.24536884
JS CREAM CRACKER 300G,Kit Kat 2 Finger Caramel Multipack X9,0.0,0.282458
JS CREAM CRACKER 300G,McVitie's Club Orange Chocolate Biscuit,0.0,0.27547562
JS CREAM CRACKER 300G,Kit Kat 2 Finger Dark Mint 9x20.7g,0.0,0.25587416
JS CREAM CRACKER 300G,McVitie's Club Salted Caramel x7,0.0,0.25434953
Kronenbourg 1664 15x440ml,Heineken 15x440ml,0.0,0.35217366
Kronenbourg 1664 15x440ml,Carling Lager 18x440ml,0.0,0.314621
Kronenbourg 1664 15x440ml,Birra Moretti Can 10x330ml,3.727925,0.30172306
Kronenbourg 1664 15x440ml,Birra Moretti 660ml,0.0,0.3009262
JS Corn Flakes 500g,Kellogg's Wheats Apricot 500g,0.0,0.53115755
JS Corn Flakes 500g,Kellogg's Just Right 500g,0.0,0.51258457
JS Corn Flakes 500g,Kellogg's Fruit n Fibre 375g,0.0,0.50260586
JS Corn Flakes 500g,Kellogg's Special K Red Berries 500g,0.0,0.4981302
Felix AGAIL kitten mixed selectn 12x100g,Felix AGAIL mixed selectn jelly 40x100g,0.0,0.46992612
Felix AGAIL kitten mixed selectn 12x100g,Felix AGAIL vegetable selection 12x100g,0.0,0.46820435
Felix AGAIL kitten mixed selectn 12x100g,Felix AGAIL senior meat selectn 12x100g,0.0,0.4604938
Felix AGAIL kitten mixed selectn 12x100g,Felix AGAIL meaty selectn in jly 12x100g,0.0,0.45829785
JS Stuffed Crust Pepperoni Pizza 424g,JS Flame Grilled Pizza Bases x2 300g,0.0,0.55719185
JS Stuffed Crust Pepperoni Pizza 424g,JS Steak & Kidney Puff Pastry Pie 150g,0.0,0.52222717
JS Stuffed Crust Pepperoni Pizza 424g,JS 1+ meat &fish selctn in jelly 48x100g,0.0,0.47368217
JS Stuffed Crust Pepperoni Pizza 424g,JS ROASTED SALTED PISTACHIOS 300G,0.0,0.47313678
Stamford Street Digestive Biscuits 400g,McVitie's Club Orange Chocolate Biscuit,0.0,0.38442683
Stamford Street Digestive Biscuits 400g,Cadbury Timeout 6 pack,0.0,0.3375492
Stamford Street Digestive Biscuits 400g,McVities Gold Bars 7pk,0.0,0.29783076
Stamford Street Digestive Biscuits 400g,McVitie's Club Salted Caramel x7,0.0,0.2820405
JS Scottish Skimmed Milk 2 Pint 1.136L,Dairy Pride UHT Skimmed Milk 1l,0.0,0.46863282
JS Scottish Skimmed Milk 2 Pint 1.136L,Dairy Pride Semi Skimmed UHT Milk 1ltr,0.0,0.46438712
JS Scottish Skimmed Milk 2 Pint 1.136L,JS 10 British beef slices 115g,0.0,0.44443333
JS Scottish Skimmed Milk 2 Pint 1.136L,JS 10 British chicken breast slices 115g,0.0,0.4320051
Hubbards White Rice 1kg,Hubbards Rice Pudding 400g,0.0,0.6094272
Hubbards White Rice 1kg,Hubbards Orange Double Con NAS 750ml,4.259847,0.51023936
Hubbards White Rice 1kg,Hubbard'Orange Medium Cut Marmalade 454g,0.0,0.49825352
Hubbards White Rice 1kg,Hubbards Peanut Butter 340g,8.616861,0.49815184
Pedigree tasty minis beef & cheese 140g,Pedigree tasty minis puppy 125g,17.057764,0.3892612
Pedigree tasty minis beef & cheese 140g,Pedigree meaty meals in jelly 6x385g,0.0,0.35285074
Pedigree tasty minis beef & cheese 140g,Pedigree tasty minis cubes chk/duck 130g,0.0,0.34269744
Pedigree tasty minis beef & cheese 140g,Misfits twistos with beef 105g,0.0,0.30891797
Dairy Pride UHT Skimmed Milk 1l,Dairy Pride Semi Skimmed UHT Milk 1ltr,0.0,0.6099942
Dairy Pride UHT Skimmed Milk 1l,JS Scottish Skimmed Milk 2 Pint 1.136L,1.042467,0.45493758
Dairy Pride UHT Skimmed Milk 1l,SSTC SOFT CREAM CHEESE 200G,0.0,0.40994745
Dairy Pride UHT Skimmed Milk 1l,Cadbury Delights Hazelnut 5pk 110g,0.0,0.3463725
Coke 24x330ml,Pepsi Max Cherry 24x330ml,0.0,0.43199113
Coke 24x330ml,Pepsi Max cherry 1.25L,0.0,0.41367537
Coke 24x330ml,Diet Pepsi Caffeine Free 2L,0.0,0.37018293
Coke 24x330ml,Red Bull energy drink 4x250ml,0.0,0.3063342
JS 1+ comn meat selectn in jelly 6x400g,JS 1+ meat &fish selctn in jelly 48x100g,0.0,0.57270443
JS 1+ comn meat selectn in jelly 6x400g,JS 1+ comn meat & fish in jelly 12x100g,0.0,0.5605044
JS 1+ comn meat selectn in jelly 6x400g,JS 7+ meat&fish selctn in jelly 12x100g,0.0,0.5556484
JS 1+ comn meat selectn in jelly 6x400g,JS 1+ comn fish selectn in jelly 6x400g,0.0,0.4986288
Webbox lick-e-lix chicken 5x15g,Webbox lick-e-lix salmon 5x15g,0.0,0.5464195
Webbox lick-e-lix chicken 5x15g,Webbox Lick-e-Lix liver & grass 5x15g,0.0,0.5267527
Webbox lick-e-lix chicken 5x15g,Webbox turkey & lamb tasty sticks x6 30g,16.82975,0.50784093
Webbox lick-e-lix chicken 5x15g,Webbox cat sticks with duck x6 30g,0.0,0.4777704
Stamford St Mixed Portions Pack 2kg,Stamford Street Mixed Vegetables 1kg,0.0,0.47717905
Stamford St Mixed Portions Pack 2kg,Stamford Street White Bread Medium 800g,0.0,0.4370005
