ID,ITEM1,ITEM2,PAIR_COUNT,ITEM1_COUNT,ITEM2_COUNT,LIFT
14242,98a2c6b3eda03407e91800db4e68dc352fb47f2b436e67ab13a0d204a8eeb358,d5686e71cfc9a71c374cc862cab864af347b54e087be1775252b038b96e94640,31,1390,3061,5.077446
14243,0a19e714ce4bbedb190a469b9d1451b1c01275cac6fa34dad4bb02e407e61a6f,9f3546d1dbaa4f42e58f406d7bfae1f755a647abceb737c8f61b84c26a05accd,11,2635,2715,1.071529
14244,8ff2d9b6abb61b13162daf8c34ec9a759b2b278cab3f7ce79aeeb94e526225ab,955787f8a9cadd159008896a256df1095cc3e64df878de66beddcd8b02abf2a0,113,4494,2338,7.494844
14245,56141b13b715b757bfa3fccb83cae45d1b121a179321a97faddc23661acc9528,80e8e7e18f27159d88b5b8f98a5ddbfd1aabfca7b8628da50bfeaed32f66259c,9,2752,2232,1.021084
14246,c852df42db3d8c97783f4075a77ec8046e02e56920f790bb882c362de133322e,f2ed3588a5f9c339b01d61410e457dc50611cecb75e7279de9286c35b6cd428b,12,1751,4627,1.032185
14247,232247fa7953669d85b54088b2f236766342d1ce96f978496e46a7d55e87e747,56141b13b715b757bfa3fccb83cae45d1b121a179321a97faddc23661acc9528,15,1844,2752,2.059888
14248,16edf399872dd3666b25b15ea3a1dc3cefec2b07c87c1d484bf79bb7723462c1,95d7d0377fbe240a55520e7344206420448fb0edefacfa39c313cb39535ce032,7,1365,2350,1.520755
14249,1f5179e68310afd8cbdf69cd177318eba00181a9732b0cd8f8880c25c5bdbf51,a3eb21ab741b53333d7181963f49e90af1036d95df708a492998d2ee70ec7d9e,36,2216,2786,4.063623
14250,a09a8cda2436b59e796152ecba3cf61ad0493aaac25affa3803b7ef64b22a3d5,f865f0dd892c1eb5e80f66ef9bfe534d836ab97f27f45ae626fea74ae0afeeea,23,6916,728,3.183488
14251,022884a3c80c51d1e71225e36af6647d9094aa4966782b92bab864e172872127,ced3ec3469987b8a868d07924502eed6ce26f18a49a88a563689823a2f5fd3fd,13,2897,2271,1.377018
14252,43e6aa69a4ad0b1ed6756a1e1b8e4c2b31dc034b72361ee441a781454edca102,7b5a74d69975f38dcbfa96e3a42901fe607b7879a1d2d5a367f1a7e9ce83e13b,8,2142,1643,1.584144
14253,0e256d9b54e4435ba9b5f6602954895ed0359af2fbc049754df011e350a176cd,ea7105cbf302c2a5fb0906f6224cc6e11b632da94cf54a4fe5667ed3a5460631,23,1491,1766,6.087252
14254,86d0a30e8ffda353343b17f593dcbfa4860ce494931396cd2a6691edb6d9d6db,8ff2d9b6abb61b13162daf8c34ec9a759b2b278cab3f7ce79aeeb94e526225ab,48,2622,4494,2.838816
14255,865ae9f08fc9ed1dc1f01a7d417fc5fa221933593c19760c83de2ae68bd3c478,de8d0880a3e3656b3db963677724b77988033b5775773b5bfcc63d4f48154a04,9,1363,1902,2.419346
14256,a2668c9b4dca4ab9c128a08a39e8b041adcccc42138298bf125fc90ff98d4905,ab2421f49cfcca40d7b270a8258698dea6f36c5b492600eee9e239e67c051b8d,14,5525,1225,1.441522
14257,6f8e56b7c0a255d724e772bedffeeff491afd81901da023ab9f931e02061d014,ec3f53f2ebb18b4d9f120bf42524281cbfda3f371f3a555628e84d2ed87a032e,9,1930,1095,2.967788
14258,36b32dda2f4d84db2751fbfcda3f7e239d2b0a428107d78454623c9167457882,fbc6c2f2e7377f3f23586dc4638498da349e6613be36116668010de6943251b5,15,1231,2988,2.841937
14259,05a0ec3f4666ecabebfffda7e214c1de430a6a8c64dd7b9e93dc19abce6fb613,fbc6c2f2e7377f3f23586dc4638498da349e6613be36116668010de6943251b5,52,1019,2988,11.901735
14260,949d5863ea647927db81cf760d03933c988d9c1f2650f28c66adfff63105c61a,d6bc0a7b307e66306d62d8c6b1b521da57ac70fc2774af1f6400ffaf2741cd80,7,1809,2395,1.125941
14261,3b8544fb7294355d691027bc8cfd1e6db66de97beab19d2824e6a42333b12a2d,dd5f2227014e3cac07caa5fdc6e8651cb88104530d401c3cda67a303f5d92604,6,2750,1430,1.063272
14262,26dbd8a196bd051a02f1f67b1f9e84de380c9a79b472afe1f276a69c95853e55,a09a8cda2436b59e796152ecba3cf61ad0493aaac25affa3803b7ef64b22a3d5,35,2269,6916,1.554320
14263,5a210bc5f062bf6c3471981fc722c22fddf96c83ba1756292c7bbf164b74f084,5f3730821460ebfee01c2bdc028960aaf0c79dad1a8dcccbcbdb391cb99c0f4a,21,2473,1215,4.870579
14264,7eaeef54a7423fe503f27b9783b29ff3f6bb358043576c35fa39a0de50c900e7,e43d72ab26a7ef64c17a60755323ff192e1b66e5cb03a1d47cd19cb87c2305a9,10,1782,1098,3.561654
14265,6a5510d67060af52da80ac4af48483940eface74eb744f6cd379e7d84e3e6991,b246568e626cb17021eda0bda5427fa9ceb3f8eea824318d456c2021dca8ac01,6,2217,1883,1.001606
14266,a3df705a2dffa05976b853e19106b1b43a66f606775f91d9c63df096fab099ec,a9a22ebcfd93353e4a74ac9dbc570bcabda07683c95245ddd1882865a4d0c8ec,23,4896,1986,1.648424
14267,4319c30ab8e55977306a8ce00d8916e6e9451985d2045a1369948d92e0ae6f70,9275d19e0cb75654954f5a5c86ec6cb03060f72c962e628a5cfbaae3181d8d1b,29,1537,1744,7.539445
14268,2ee3d7c1cb1977da02fbc5b68ea5cdde08bdb9d9bfa5d02761fe3850e3c7df9f,d49da2240fcc6c8ce39e6121b992182b3d1b71e9356f4af92ffa13d601a3f369,23,1465,7170,1.525924
14269,6b4b021061f2870cd68968d52c08b392f783214e67d1d175213a0a114bacdafc,8918fc5e085e93eaffdfdf80da8f9584ba3c881d851c73ee99de0740caba5edd,37,1968,10134,1.292878
14270,232247fa7953669d85b54088b2f236766342d1ce96f978496e46a7d55e87e747,2df37d5e60ac97350d4dddec30e37a5ece70fa1389dde6fc1257f9b0c1511882,18,1844,6211,1.095246
14271,07daeb1c094d7da8317a7ad98c4053f3b93fa063f595f64284911bc530aa3eae,70dc695dd938f6274d100e4ed738edc56c0e6f3dd99db92e78d8745154e2f33b,8,1535,3135,1.158526
14272,295dba9609e61563d4548dc150f1ce958d61f21f9712a57c99dbbd00535c2297,e3f273d3b4876b554323d2070e4910abb9ae85fcb36cf4b27637dcc49d8eae7f,26,2501,5433,1.333465
14273,cbbb2c30cbb8cc6a61e7699adcb1cfe39f08ae8f5a35d702266f54276413237c,fa145abc43869d474d2fe27a62a1f505f4d55b971f46401c0dbc5a857fe60442,6,1727,1478,1.638122
14274,1c0408bf90f62d263d8af54713f205b4fcb5613185c36e6e88748d86204ac4d2,a3df705a2dffa05976b853e19106b1b43a66f606775f91d9c63df096fab099ec,15,2003,4896,1.065935
14275,a45deab02cca0f0b3542910c096d42226a66130e6bf68d640b3270ab1b4f2916,aea24662b147548b3f6f3f9d674aef210355529871465a841084ddaadcad907c,52,3485,2308,4.505329
14276,5f535b09b458c2243e3f002718e679048a5469b8145cc8ac92114e16164acf14,8b3ef5a6cd4099c961fa13e0b6c875d5ae4f7349985f6ad3ee11b190ea694364,14,1343,1454,4.996310
14277,49e1dc9cbdf93b5ccbaa301ae422ae961e0d62a44af9744b5862078a1a54e148,e7b3ced7305e15831a363c810e5caa9e2fdc23023048de58dec1d05517794427,13,1946,1691,2.753079
14278,5f4a26b105b8fcf2075202f5b7eb3baab22f2694baa9ea06dbfd48924fca079f,ebf2c32994e65a9984fc5397842a336422f8af793ec1f9627beeed5cb2ff5aad,59,2746,2409,6.215505
14279,153f7c08ad964ceeafb2c5353ab1173400f3649605d5bacb4febee64f2d0a78e,175ea9c9098579287b86429a3aa11b3f5e107f7f1190f8a351ffc32d05ce9701,25,2898,1675,3.589125
14280,dda28166ea8fb794de43d397332cb49788318ad1f25fe33d7d7499eafa958703,fcdafeda1fcdd916dd255a49734a80e2e20c2ad59b09e2dc4e9fd01071074c64,9,3257,1498,1.285508
14281,7a2d229d4004712733a778470ce7d9a43bdc669d678a0d748d4a21c040096f35,d2e001b1489ded6cd29c4efdeddb711cfc87a731dc1c6a90ad37548fdcc6601f,7,1477,2281,1.447952
14282,c5ebb0652275360a2d7b1d2cb0c8480a06e6fbe51751344ae01e7e8abd9e54aa,ce084f0bebbf24273118172d1844a02402a9ac40f7c8250726424e9b05ab432e,11,4473,1672,1.024989
14283,6b7b7b9017826b8b5db516e1a553ddfca8fe0edd5e90df9a7685c7d1698ba440,c5ebb0652275360a2d7b1d2cb0c8480a06e6fbe51751344ae01e7e8abd9e54aa,48,5298,4473,1.411537
14284,706dfc42061db45654bf591ffc89849586456489002e28538b7f47836f8744c9,9e9e46354469546d09c2cc280a5c808aadf2c849790a3ebc63afd9bdfb7b3d59,7,1162,1688,2.487031
14285,9e7f2950b93be0a893a4c0b2a2df39be1c60107c540f6cac4d1ce1e2e8094898,b38ab14abf313ba3a0377ded6dc03eab0359e1568bf9c7d5a67aaac4edc876ba,6,1520,1496,1.838814
14286,3472b1b56cb2803fe0f0e6a949016d19f85929180c30855c18af112ca9670634,4453ad74528ab5a585fd69946e7ffd961cb739166b16c9a98460e30ea24a65e5,8,1494,1070,3.487526
14287,7eaeef54a7423fe503f27b9783b29ff3f6bb358043576c35fa39a0de50c900e7,a47866ecaac40095d3695ae8450f3dc83fa8b15144884631aa2946c455d7cc21,35,1782,10245,1.336011
14288,d2e001b1489ded6cd29c4efdeddb711cfc87a731dc1c6a90ad37548fdcc6601f,d7d75597f1ac980f515ca8142deb45650ba6c10c5d378cdd3ce7494306b08484,6,2281,1032,1.776266
14289,9e9e46354469546d09c2cc280a5c808aadf2c849790a3ebc63afd9bdfb7b3d59,e01750ef7e6dd2817c5c667e66882c931484d85ecd9b0d9633f2528d3d4a3263,9,1688,3353,1.108149
14290,810c2f58f057e81eaeb1c2dca1db49da64bbbb7671349da358b7d0e4e49d2bf8,d0418cdd56ff0a2234b7fa11471080d9a2f2f5555c0f26d313da5b611d97dbee,7,1867,2409,1.084623
14291,63f3da95314c90b3195468322b10677a17a43d92b4dddcdb11fa01a58d76ffe4,ea6f09a90b25d6d4f59e9f8df19a3a90f11dd722f7474bb71c6900da9328d90f,16,1847,4873,1.238849
14292,949d5863ea647927db81cf760d03933c988d9c1f2650f28c66adfff63105c61a,a2668c9b4dca4ab9c128a08a39e8b041adcccc42138298bf125fc90ff98d4905,90,1809,5525,6.275284
14293,ad7a7519ac61e1f036831a83d7e2802db06905a962744d4f5f0d55dad852823b,b0ce09d860e87784c5b6ff756d5c69d2462b1f2ab1418499139702c448a8d290,6,2688,1536,1.012727
14294,93ca4748e8f6d7759604344391197ef16e1b53ca5cf40df75430908c5140946f,b38ab14abf313ba3a0377ded6dc03eab0359e1568bf9c7d5a67aaac4edc876ba,6,2424,1496,1.153052
14295,43e6aa69a4ad0b1ed6756a1e1b8e4c2b31dc034b72361ee441a781454edca102,a09a8cda2436b59e796152ecba3cf61ad0493aaac25affa3803b7ef64b22a3d5,113,2142,6916,5.315764
14296,14e0acfa4cc4b07fae954357d84e5e2e8146f8bb1fe4c59522dc8bb1ed521d33,ad881021b36b024699d53d2eef2c8c88982ca76a0bb11709e07b4598f1ad424e,11,1738,2468,1.787144
14297,73aaaa418179e2be665952ca686027d552301886b31ec700778cc563f98f5e2c,e01750ef7e6dd2817c5c667e66882c931484d85ecd9b0d9633f2528d3d4a3263,77,1813,3353,8.827162
14298,4bf1ac9c051fd81293d2e027ad69eb6f26dd81dc3ee4d9d33a9ce57648e92528,8918fc5e085e93eaffdfdf80da8f9584ba3c881d851c73ee99de0740caba5edd,36,2362,10134,1.048102
14299,6129b3767ee98cc47d3dcfeb4d8c3245fa3cce074903b5b82a9e620b49eb32a3,a5362db89d997c0f49ae649af8f1f9a098e45a374d8cb112575a4dcc9b25e2cb,15,3267,2716,1.178078
14300,0c2964149abd29fd2d3395a858050805eb4a24446e745d9ea6c60f5e755790d8,2ef232efc78dcb7f1b801d6933e7f9c76a512585902ebd849ba038c1a74b44c8,10,2628,1772,1.496486
14301,14e0acfa4cc4b07fae954357d84e5e2e8146f8bb1fe4c59522dc8bb1ed521d33,ee9af63abbc01197bd4dddcbf530cf3a9a332f5afdeca532a9d6a7e1f91bf32d,82,1738,3896,8.439308
14302,16a5d6e00a85df461ba80e574a02a72b0fa1f325b3979b42fe2f3a0d1cbe1b7c,78f3ccf0ce9992ec975f3c484219a5e7ef1f721055990ed108761b38e0b6eef4,36,1532,1329,12.321982
14303,79e164eb555cd7f7ac1fb78743a9d378979b7d00f585959153eefd8a969179ca,d2e001b1489ded6cd29c4efdeddb711cfc87a731dc1c6a90ad37548fdcc6601f,7,1866,2281,1.146101
14304,626cd674b1a6c3f5688b8d3aac950ae204a7ff36e4e56cb7e3ca4c53a1d4a790,7b1594811c3b766c53b1af26510320293d28efbb0da1cabbd51c9c7f63a5aaef,25,3088,3868,1.458606
14305,6433ca175221d5fc16dfd95e71882e2a5fab9a8de3fc0671c767eae917bead04,ebf2c32994e65a9984fc5397842a336422f8af793ec1f9627beeed5cb2ff5aad,47,3329,2409,4.084219
14306,218e02b88a0a394e47593fbb718462a4ab36964ee332e51d5cf3cdee094061f6,e1a5bbdac8e533b85c905370b1b4ad0b0c9ce3861fb449b210e3897f8351edd1,9,1591,2283,1.726745
14307,51bf6d83d000c260a065aa54280a28f7515f5bbde798daa0d687b1e835706daa,b5dcda86ad161dcef537ce92b90beabadff84b64aa6b23146cb27015aeeea7bc,17,3311,1679,2.131085
14308,8de9df7a861349c54bb7d1c526d8b110444d5170a898d7ca2fcebb1fcc5b13e2,ebf2c32994e65a9984fc5397842a336422f8af793ec1f9627beeed5cb2ff5aad,21,1462,2409,4.155247
14309,c84c911409b77b376d0a9e1b58f305c82ffc0196002322ce33cbc5220d76f50c,d0189a0a485e59c06c4241ac2fdf4f6435278df917797e918ed7edde4c388072,6,2501,1646,1.015709
14310,2ea1a20ee824ce672e4a8e6e0a7b429da5e641a98fb6f9d48da8d212ab9608bd,7eaeef54a7423fe503f27b9783b29ff3f6bb358043576c35fa39a0de50c900e7,51,7031,1782,2.836659
14311,49e1dc9cbdf93b5ccbaa301ae422ae961e0d62a44af9744b5862078a1a54e148,66c2893bbb2e99c265ee8999ebbad24f2e04fcbd9f5df7ce1e45490675d4dff4,10,1946,1774,2.018670
14312,949d5863ea647927db81cf760d03933c988d9c1f2650f28c66adfff63105c61a,f46f3c0457ff2748c520cded85bb5615d55e5aaa3c8c4e8bf4b037fe340e7406,6,1809,1908,1.211424
14313,56a6972024ec538baf8b0695aa9cc6fcf347f5dbe3c5238f7f6171b75fac81b3,884f194092d95f00d47d3bf29529fa359c22cf6152e7b8ef5bc5772949d03645,7,2168,1950,1.153894
14314,702729e04b57093360b3a5c54f328566eec50ba257b62f2bd4b4ad52489000e1,e00368e78ca98edca30b8f4f5826c63028ab41479b7dd0d1d8017fde163f1c20,37,1383,1673,11.144108
14315,79e164eb555cd7f7ac1fb78743a9d378979b7d00f585959153eefd8a969179ca,ce084f0bebbf24273118172d1844a02402a9ac40f7c8250726424e9b05ab432e,38,1866,1672,8.487846
14316,2217d1324201e27cf052e42c59dbebe2171b7a9b386e30237627dba991a3c1c7,608c957b9ce46c6704133e3d974440448f4708d6e0d3cf038a86214d37dd2924,15,1841,3402,1.669033
14317,4453ad74528ab5a585fd69946e7ffd961cb739166b16c9a98460e30ea24a65e5,69294a324793dfdf1bff92241c037ecc895f0576cf656dc08055bb9661a3a12e,16,1070,2210,4.715260
14318,26dbd8a196bd051a02f1f67b1f9e84de380c9a79b472afe1f276a69c95853e55,bb3ce5f621f4b58b31290e459c3a5031eafddd471ca6a7401082ecd98a906d84,47,2269,8165,1.767946
14319,70dc695dd938f6274d100e4ed738edc56c0e6f3dd99db92e78d8745154e2f33b,7a2d229d4004712733a778470ce7d9a43bdc669d678a0d748d4a21c040096f35,13,3135,1477,1.956532
14320,68563a18f2e418bb76e8119985c5f2ebe758cae9eaaeed342e3ad0aaba88c3a6,a9dcd65e3d215f6891095b28cdfa119833215b4b815637701b892c5b31c791e1,10,2399,1930,1.505131
14321,3c319f7e97b67f70d66733463a88350e3084dda35e84ec8f2809b84330fca566,aea24662b147548b3f6f3f9d674aef210355529871465a841084ddaadcad907c,42,3730,2308,3.399902
14322,445088cb5bf7b034cc15b7e1aa031b82d838872305e4c5495f4d9e347dbd566e,b7ad9b8310181c13a4714ac6305e2e04f2b8aea9584eed05b192c3fcb9b97059,7,1293,3198,1.179730
14323,1426757b09bf9657310dd48357109c9e5535f54a366915bad5a2dca785287660,5dbea717d3f1e3431c11d0c5fb8d4694648b306fd83f4bf1226a537131804786,65,1310,1663,20.792734
14324,3e2c3d07859dbc0fc23919c3c1ebf6132457c68d79221eb482c49673ae849854,c1b277711ebb36dbb57ea6dac9348d683ebc4ccd689953c820bdd4ddae262ca7,11,2039,3411,1.102188
14325,7b5a74d69975f38dcbfa96e3a42901fe607b7879a1d2d5a367f1a7e9ce83e13b,e786aae3223aecab1585f35563983022c1bc7e307a635700fa7a46bb2b1fdda9,12,1643,2381,2.137697
14326,1426757b09bf9657310dd48357109c9e5535f54a366915bad5a2dca785287660,ea7105cbf302c2a5fb0906f6224cc6e11b632da94cf54a4fe5667ed3a5460631,23,1310,1766,6.928314
14327,5a57844007906428852cb07a1be083e8c301afadafe2eb062f49d807a9a8cd05,ff16b894cc729f76a7b6f32fc9b5b561f64339f8efff77eb2b671d30b3fc90b2,8,1512,2913,1.265784
14328,49a6af72364dc625b5010b9d4a0e624846faa9d5c88da6762f2e8bfbbeb5bd67,a8d8c3c8d56e3939e2f74e5ed488e0ac2049183ee7718360e4bcca14334b9e34,8,2237,1607,1.550850
14329,803419a86fae10720ab0b85d092036687e237ef121cf90bc058819938d89d097,b681ffa6117bedab9547f51a8c428b5ca277ebcafe0eb3e25f284511ad4a294d,52,6399,2780,2.037080
14330,3317f13d48760c5dbbc25d941baf41cb1f7c3505ee9d02f717d580549d20dd9f,6c199c33af6a568e5e052b95a737316c823568443d1b8c95e4823542496b12b1,8,4111,1182,1.147326
14331,268d624d7aadeb358985db6dcde27b4095f18665bb4cdc27a76102d637a9ad6e,70dc695dd938f6274d100e4ed738edc56c0e6f3dd99db92e78d8745154e2f33b,10,2184,3135,1.017821
14332,78f3ccf0ce9992ec975f3c484219a5e7ef1f721055990ed108761b38e0b6eef4,a8d8c3c8d56e3939e2f74e5ed488e0ac2049183ee7718360e4bcca14334b9e34,6,1329,1607,1.957817
14333,206fa67423da964f24675baca7aa92c330978aff58ada68429f699c3cf5a9312,bea8dc1075bce33c0998ba5eedaf732fa20308e790da7c880b35f3dd02013a9f,7,1285,2415,1.571953
14334,106862008bd46faf8e681703d8dd5ef0d94f3a63c04b4a01d83006eb43601fd1,a09a8cda2436b59e796152ecba3cf61ad0493aaac25affa3803b7ef64b22a3d5,37,1465,6916,2.544901
14335,3030f8e2ef8036a86a919251eeeb90a4baa9eae719101c2eae7a5d7b8d71c797,6137dd2135cdd438acbd7530da65c9edb8d340806246a6442b4e124535f947ac,8,2150,1594,1.626765
14336,3e2c3d07859dbc0fc23919c3c1ebf6132457c68d79221eb482c49673ae849854,5dbea717d3f1e3431c11d0c5fb8d4694648b306fd83f4bf1226a537131804786,21,2039,1663,4.315902
14337,2ea1a20ee824ce672e4a8e6e0a7b429da5e641a98fb6f9d48da8d212ab9608bd,8de9df7a861349c54bb7d1c526d8b110444d5170a898d7ca2fcebb1fcc5b13e2,41,7031,1462,2.779592
14338,66c2893bbb2e99c265ee8999ebbad24f2e04fcbd9f5df7ce1e45490675d4dff4,f523013e192191e9075dc88fda32ccaf83eda8d9bc616894253a3f011b699baa,10,1774,3711,1.058564
14339,18d4aee90a94d871723c2f1e59d3fd588df9d09dffa605325f2c68c9b4d8e128,c62772b3bf43bafc30d89276129d4fc6e14ac824083eb9ff18df170eb6d1c5a9,10,2110,2308,1.431013
14340,2766f4e25ba6494a8c044a4884a566fd2f9609fa16a1f3d43d667f0a267a7e38,5c6a22738773000d5836e8a1e6c21143f0fbba7f0bb726dc83887cad647ee25f,11,2208,2415,1.437600
14341,91557294e6642e17c0917e5e93af09c0295378017ddc80ccf959f43292d208a3,d96d016a93dcadcad211d62e55c70357cc23fd3f8cbd27c40f3e61f96593c118,16,1025,1826,5.957405
14342,56141b13b715b757bfa3fccb83cae45d1b121a179321a97faddc23661acc9528,5a210bc5f062bf6c3471981fc722c22fddf96c83ba1756292c7bbf164b74f084,15,2752,2473,1.535962
14343,0c2964149abd29fd2d3395a858050805eb4a24446e745d9ea6c60f5e755790d8,2659c467efe7255603c5a49a7f180d2d756f12b4638e168c1b5d9a0b6ceda2d1,12,2628,1615,1.970358
14344,26dbd8a196bd051a02f1f67b1f9e84de380c9a79b472afe1f276a69c95853e55,d49da2240fcc6c8ce39e6121b992182b3d1b71e9356f4af92ffa13d601a3f369,27,2269,7170,1.156570
14345,6137dd2135cdd438acbd7530da65c9edb8d340806246a6442b4e124535f947ac,ee9af63abbc01197bd4dddcbf530cf3a9a332f5afdeca532a9d6a7e1f91bf32d,16,1594,3896,1.795455
14346,4319c30ab8e55977306a8ce00d8916e6e9451985d2045a1369948d92e0ae6f70,9abbf73c7a91bfb3386bf812eeb98bd21ff5f90e5c4a829376c5097093ccf335,18,1537,1427,5.719215
14347,20d6ae9ac3f1e3f6b50fb6bbf51e679484fdf1aca82a8db70d32079b2236d49d,ea7105cbf302c2a5fb0906f6224cc6e11b632da94cf54a4fe5667ed3a5460631,13,4163,1766,1.232276
14348,5dbea717d3f1e3431c11d0c5fb8d4694648b306fd83f4bf1226a537131804786,97ae0e13ebb542da3508485dc5827320b77f24ef77bd568c96a52c618fced328,16,1663,3561,1.882858
14349,3c319f7e97b67f70d66733463a88350e3084dda35e84ec8f2809b84330fca566,6ed86a1f30544599a562e45a8895512c1aa634ada1a42d839be959585608a6be,11,3730,1545,1.330201
14350,197ce5e499a6ac916c4e2c97e2e747ee6f1ea6378e752a38c26fa2537f8891d3,d7d75597f1ac980f515ca8142deb45650ba6c10c5d378cdd3ce7494306b08484,6,1381,1032,2.933862
14351,66b096669b12fa6aec5292df389d8f1ce78bad287689278704069e5701857871,f4736bcac36f0ba96ac30a4442e2abd30cc9af49bc7075759276f35dce07958e,29,1458,5107,2.714166
14352,de8d0880a3e3656b3db963677724b77988033b5775773b5bfcc63d4f48154a04,e786aae3223aecab1585f35563983022c1bc7e307a635700fa7a46bb2b1fdda9,11,1902,2381,1.692718
14353,a3eb21ab741b53333d7181963f49e90af1036d95df708a492998d2ee70ec7d9e,e436eab7e6c162633338041821b4872af7b4366ff7ddb0b3c79d503a71424484,49,2786,2311,5.303673
14354,6c11615b2dbe881306bf1731bdb4e541494f032ea5fe02aaaffca65d50f0d4cc,8312633d1128fbf27ae83c535557af2d0448880f2f6965201cfab8508688d2b9,35,5595,3467,1.257407
14355,8e4941a8b12078b60050d32df3ded9da2648265c45787949408b8eac39d16c8c,95e47baadc201323688ee969fa5767cd48288c8bb60ea9e4a14dc28b3fb883d2,17,2326,2490,2.045510
14356,8de9df7a861349c54bb7d1c526d8b110444d5170a898d7ca2fcebb1fcc5b13e2,b246568e626cb17021eda0bda5427fa9ceb3f8eea824318d456c2021dca8ac01,8,1462,1883,2.025135
14357,41fc54805cf02db35a5101abace493b4c0473cbaeb2c4b6ec068f96a4225f215,a47866ecaac40095d3695ae8450f3dc83fa8b15144884631aa2946c455d7cc21,77,1994,10245,2.626729
14358,1fb1081fa74a45e18db8223e150ddf7ab1b6953b9d837a4f056f5b31df981c4c,5dbea717d3f1e3431c11d0c5fb8d4694648b306fd83f4bf1226a537131804786,19,2321,1663,3.430425
14359,2766f4e25ba6494a8c044a4884a566fd2f9609fa16a1f3d43d667f0a267a7e38,cb5142698732aa569c90c8762ebdb0a7ed40330fa1abc6950605ac910ee1adfc,11,2208,2680,1.295450
14360,56141b13b715b757bfa3fccb83cae45d1b121a179321a97faddc23661acc9528,d0eb42d1dcb72179895e3e730bddaa69ce7edd664ecee97dd92e0ed55ef955b2,9,2752,1931,1.180249
14361,95e47baadc201323688ee969fa5767cd48288c8bb60ea9e4a14dc28b3fb883d2,ebf2c32994e65a9984fc5397842a336422f8af793ec1f9627beeed5cb2ff5aad,49,2490,2409,5.692744
14362,a47866ecaac40095d3695ae8450f3dc83fa8b15144884631aa2946c455d7cc21,c62772b3bf43bafc30d89276129d4fc6e14ac824083eb9ff18df170eb6d1c5a9,62,10245,2308,1.827282
14363,ba3b2ab0c3cad1786b48891c809546164611ead574ec99cd27a800a3a30468b0,ebf2c32994e65a9984fc5397842a336422f8af793ec1f9627beeed5cb2ff5aad,82,3322,2409,7.140673
14364,75ba13a01e61f614f72c749cbe444d6a573d0984dca3327d52161b5016ac5b03,79e164eb555cd7f7ac1fb78743a9d378979b7d00f585959153eefd8a969179ca,16,1089,1866,5.487091
14365,4bf1ac9c051fd81293d2e027ad69eb6f26dd81dc3ee4d9d33a9ce57648e92528,d68e82298e434a3cb0a1a55cbcf0e99cf1046f16914834a0f583b673fdbf2b5d,7,2362,1585,1.303019
