ITEM,QUANTITY,TRANSACTIONS,ITEM_NAME,SEGMENT,SUB_CAT,CAT,SUPER_CAT,ITEM_TOTAL_WEIGHT_OR_VOL_QTY
865b7c05a2859d4bdc0e68e13a7ae03c41ec32940903ef2b82496ea4d1c9e76a,29407.0000,9667,Dairy Pride Semi Skimmed UHT Milk 1ltr,8134119ad0ab6c51e7b12d2c25220bb252594d88e177681072827e92346bff1a,88c02080da0e3eb7d3e792ce036742f9c3874b4c49069b2af9926484f966249d,5b787bc1bab07d06a7731795ccc002cd63d08b1731ea9c61957fd880a8454da1,042a172740f7b6de757d54c5c8ae417f4af70326caf49174e3daec81d6f29a8e,1000.0000
5a7672762401c638088791e8d25fdb13c8dd46b84a270272f6317972fc292f8b,1874.0000,1558,Rizla Regular Green x 5 Multi Pack,05f5802492f872648c5affa9f6334c9d32a4e938842913ca32b2f4fc08326ff1,3e18a5a7b3b954ca54e73eab529fb5472e67baf407b40be0d67ad7c2a4790fa2,3f0d2440090396f1c3ce5dbac7f4b531cf08e5ede14ca058cd1d39a88802303a,7a5a5e180aa843f2bf55ba649d20145b799e432059079308da4c2fe4dadd8d58,1.0000
0d4376d8f3f3fbdd1b1d705f59a16dda694661c38bfe505951cfb746d4cf15d3,2139.0000,1475,Swan Extra Slim Filter Tips X120,05f5802492f872648c5affa9f6334c9d32a4e938842913ca32b2f4fc08326ff1,3e18a5a7b3b954ca54e73eab529fb5472e67baf407b40be0d67ad7c2a4790fa2,3f0d2440090396f1c3ce5dbac7f4b531cf08e5ede14ca058cd1d39a88802303a,7a5a5e180aa843f2bf55ba649d20145b799e432059079308da4c2fe4dadd8d58,1.0000
de54c7ed5b57d3b79d7ce66e17414e95426dd0149456bad866fb609b754df33a,2018.0000,1523,Sainsburys Brandy 70cl,2abd784fcf4467852f2b83f2337224bb580e978cddaddccba9bc4329e28ddf9d,1b0e7b210e2c9f3ba176e413b444b94ddfc167e7a72b78884f5395158cdd0616,bb58a5b6c1a3b29f059083981086eef4f957e85d279037023299b7215e69ef71,017ecbb9f5f6822972f54c720904a02672778e2faaa0e239a224fafe90a5617c,700.0000
8401b9d4a060bbb092ccce8679eba478443bb253639bd93eaf243aab664c2a15,539.0000,450,Courvoisier VS Cognac 70cl,e69ee856711feab1848ae8651d6bd38b6b64c26715d79bf87014b930e00d68dc,1b0e7b210e2c9f3ba176e413b444b94ddfc167e7a72b78884f5395158cdd0616,bb58a5b6c1a3b29f059083981086eef4f957e85d279037023299b7215e69ef71,017ecbb9f5f6822972f54c720904a02672778e2faaa0e239a224fafe90a5617c,700.0000
53f37dc4a7b4765d3e8ee3821e9a661e0562fe75f6571c1eed65dcaef2c47c35,2887.0000,2747,Charlie Bigham's Thai Red Curry 835g,eedbcdbcd30832927967f10e0290a91f904f216366fb46f61de69c0f59502c27,e5e04610947a1b82c162f367857aaaaec282b9c57a3fdfcbf891bbb1e971450d,dad8f1d6dbed5a7acf9316c2116473f8cc31a7c4008276ac0d9c7b1f18089c35,a0ceb82a8f906b9a7c0de5f7b69ed8235abe4d17ad85291d01fa7e5d4fc2eb76,835.0000
686b29054e8a44476222622f7fe2aaed771f3d6c40295e9c5cd6601eab12779e,1990.0000,1669,Trebor Softmints Spearmint Mints 4x44.9g,ff38ba09503623a8edff7e8b20ef647e533fe737512fbf737bd237535ded6c58,875a81faa157089c2d714749f17d618b453078d2dfdfc9e0fdb446c42b286709,5d3d12cd373d19e7c99640c1b46e15271fc5c9619d69e767df98841d678cf2fa,c3be12edf9bea03da807647c489dcccd824f7a85f8f563d7e9f62a5209618578,179.0000
5fa088c1a3a357f5b5bbf991ffe4be83ae6b34a5173a4640ea8c1f6e288a3be3,1527.0000,1287,Mentos Mint 5pk,ff38ba09503623a8edff7e8b20ef647e533fe737512fbf737bd237535ded6c58,875a81faa157089c2d714749f17d618b453078d2dfdfc9e0fdb446c42b286709,5d3d12cd373d19e7c99640c1b46e15271fc5c9619d69e767df98841d678cf2fa,c3be12edf9bea03da807647c489dcccd824f7a85f8f563d7e9f62a5209618578,190.0000
cd41dd1ab418b769bda4172979554e439ad60408cfd554ff125eef2b65ca865f,8400.0000,5873,Stamford Street Mixed Vegetables 1kg,bbab6b4fe17e1d806bd21a776d0486dfbba5f27c5381d417da8be58b55c23f67,12d54e77e6c0d05df40ee4effbb84b045695b744a8b540f4b6c25c90cac1075b,e59f689e95101d6e632498e1b07d1fa2773413d80ea5555eb2c8952043c2287c,3f3e52f9cec4a3ebe9636b5e483e3c220ba506b24257083cc10b48fb93f459d0,1000.0000
ed956b10deaac13a0771ab172af324e958df860481a0b5e5f76d5c0446193b07,15934.0000,12822,Stamford Street Peas 850g,6a7008569433570085b8c3bedbe4d5c3ac880b5dcf238c8c3f30a2a978076ee1,12d54e77e6c0d05df40ee4effbb84b045695b744a8b540f4b6c25c90cac1075b,e59f689e95101d6e632498e1b07d1fa2773413d80ea5555eb2c8952043c2287c,3f3e52f9cec4a3ebe9636b5e483e3c220ba506b24257083cc10b48fb93f459d0,850.0000
a2668c9b4dca4ab9c128a08a39e8b041adcccc42138298bf125fc90ff98d4905,6846.0000,5525,Stamford Street Sweetcorn 950g,d109d6ef43067d498d0da2f9199ef24b30916cf46ff54c6f698a87120b735ebb,12d54e77e6c0d05df40ee4effbb84b045695b744a8b540f4b6c25c90cac1075b,e59f689e95101d6e632498e1b07d1fa2773413d80ea5555eb2c8952043c2287c,3f3e52f9cec4a3ebe9636b5e483e3c220ba506b24257083cc10b48fb93f459d0,950.0000
6a22c6fce381547a51494f5f223b18f25e4e9bd28828343676120fff85a5dcd8,3166.0000,1644,Diet Pepsi Caffeine Free 2L,7b95602b449e014f0d8d1e4cf02c0770ebb0edbaf01863953b897c48e28c0ec3,58e29c5f6da1a1ad4d96fe2edf58bb84956d7aae1790ee8a39bb0d7ce887ea69,8a3145954d7ce64db5987cdae859f9ab9a8f350a5de9e50ef626a61cafe8228d,ba4bb830851d1dd99498995f47a53350622443f80688ea209b027b8aa4841452,2000.0000
d2e6e9a2ed5583d2bd0d5fea299ebd691ba9f7bf59688a4aa259aac6f8207306,6962.0000,6958,Coke 24x330ml,c5d807b8890cb59cf285a01254a11b435a8c4b02f0cc46ca26cf6b2a1d670464,58e29c5f6da1a1ad4d96fe2edf58bb84956d7aae1790ee8a39bb0d7ce887ea69,8a3145954d7ce64db5987cdae859f9ab9a8f350a5de9e50ef626a61cafe8228d,ba4bb830851d1dd99498995f47a53350622443f80688ea209b027b8aa4841452,7920.0000
8c593edefec8ff0fb54aa7f7695f69d246088df1299e7370dde90dddfed149e2,1709.0000,1708,Pepsi Max Cherry 24x330ml,ecb969525be3c7486eba8e6600554c8508320c360efeda0a5966af430bba80d2,58e29c5f6da1a1ad4d96fe2edf58bb84956d7aae1790ee8a39bb0d7ce887ea69,8a3145954d7ce64db5987cdae859f9ab9a8f350a5de9e50ef626a61cafe8228d,ba4bb830851d1dd99498995f47a53350622443f80688ea209b027b8aa4841452,7920.0000
19e3b59ee9f4d4ddee9912fd88ee5cb491482215cb29e4882146a98f68309544,3363.0000,1764,Pepsi Max cherry 1.25L,7b95602b449e014f0d8d1e4cf02c0770ebb0edbaf01863953b897c48e28c0ec3,58e29c5f6da1a1ad4d96fe2edf58bb84956d7aae1790ee8a39bb0d7ce887ea69,8a3145954d7ce64db5987cdae859f9ab9a8f350a5de9e50ef626a61cafe8228d,ba4bb830851d1dd99498995f47a53350622443f80688ea209b027b8aa4841452,1250.0000
11bf1b9db44835055f1aca4118d43d2329225a46145934fa7e53286fd2b8774f,4626.0000,2202,JS BEANS IN TOMATO SAUCE 400G,15624de34ee3e81d9bda6f98f989769782d64d482d10edaec552fde632cd69aa,8de94fb840543c6d2b521b015303e8eb38ec8bcb2984279a9892e0f0975d70e2,d6fd93bffa371fd4835bb323b6e6c84ff8fb693abe05cb4c74a18b79c4d1399f,303d3bff03929ff76928fccc756ab6aa76afaee83eebe69b8302ea8844f5ac1f,400.0000
803419a86fae10720ab0b85d092036687e237ef121cf90bc058819938d89d097,16525.0000,6399,Hubbards Spaghetti Rings 400g,e53c276d764e4083a256c26b280ce183a862205882d87c8f8610bab4ba1a35cb,8de94fb840543c6d2b521b015303e8eb38ec8bcb2984279a9892e0f0975d70e2,d6fd93bffa371fd4835bb323b6e6c84ff8fb693abe05cb4c74a18b79c4d1399f,303d3bff03929ff76928fccc756ab6aa76afaee83eebe69b8302ea8844f5ac1f,400.0000
8f76aa7912671508355dc2ca1bddac5cb89c0d393e3e93d8854db1b76bb14c81,1390.0000,1170,Felix AGAIL senior meat selectn 12x100g,55c755086c12e995bcc794412f1d98be33be98a61f81285549c6fbbc100d262a,5610be2b7e5bd6934eef1f4501d180bd1ef7d8834e89600b5b378ff6f1743609,8bf754f57d95e45c904217a724480ad69378d5ab5a9f243a6ceeec62d8838662,5ffc1f1d48e32ed011478c1f2824079746972ee0f82c7ad844e10077e505597e,1200.0000
1c0408bf90f62d263d8af54713f205b4fcb5613185c36e6e88748d86204ac4d2,3031.0000,2003,Felix soup farm selection 6x48g,55c755086c12e995bcc794412f1d98be33be98a61f81285549c6fbbc100d262a,5610be2b7e5bd6934eef1f4501d180bd1ef7d8834e89600b5b378ff6f1743609,8bf754f57d95e45c904217a724480ad69378d5ab5a9f243a6ceeec62d8838662,5ffc1f1d48e32ed011478c1f2824079746972ee0f82c7ad844e10077e505597e,288.0000
337826d90c17e6550f4820a68f2e550f4aead61f3ef5c2485e658eeda68b481c,2010.0000,1432,Whiskas 2-12mths Kit Pouch fish 12x85g,d73c702859f430f489868ba4728c557296ce1b8015409af46a52e9bd8f1e39dc,5610be2b7e5bd6934eef1f4501d180bd1ef7d8834e89600b5b378ff6f1743609,8bf754f57d95e45c904217a724480ad69378d5ab5a9f243a6ceeec62d8838662,5ffc1f1d48e32ed011478c1f2824079746972ee0f82c7ad844e10077e505597e,1020.0000
1f5179e68310afd8cbdf69cd177318eba00181a9732b0cd8f8880c25c5bdbf51,2999.0000,2216,Purina One senior cat beef/chkn 8x85g,55c755086c12e995bcc794412f1d98be33be98a61f81285549c6fbbc100d262a,5610be2b7e5bd6934eef1f4501d180bd1ef7d8834e89600b5b378ff6f1743609,8bf754f57d95e45c904217a724480ad69378d5ab5a9f243a6ceeec62d8838662,5ffc1f1d48e32ed011478c1f2824079746972ee0f82c7ad844e10077e505597e,680.0000
b0ce09d860e87784c5b6ff756d5c69d2462b1f2ab1418499139702c448a8d290,1775.0000,1536,Gourmet Perle chef's collection 12x85g,7d769a7898623a873855ea9672ffddfd3e185d216b71fc3b5a8dc3996e78aae5,5610be2b7e5bd6934eef1f4501d180bd1ef7d8834e89600b5b378ff6f1743609,8bf754f57d95e45c904217a724480ad69378d5ab5a9f243a6ceeec62d8838662,5ffc1f1d48e32ed011478c1f2824079746972ee0f82c7ad844e10077e505597e,1.0200
34118ec0a6ee088e192fdf46308b702a838e52223829aa3764e8c8ab617c46e3,2489.0000,2090,Gourmet Perle ocean delicacies 12x85g,7d769a7898623a873855ea9672ffddfd3e185d216b71fc3b5a8dc3996e78aae5,5610be2b7e5bd6934eef1f4501d180bd1ef7d8834e89600b5b378ff6f1743609,8bf754f57d95e45c904217a724480ad69378d5ab5a9f243a6ceeec62d8838662,5ffc1f1d48e32ed011478c1f2824079746972ee0f82c7ad844e10077e505597e,1.0200
ad5252189d321cc6851e2886169bbc6b75ac7f278d097f1af853630eb99a1968,3785.0000,2594,Gourmet mon petit cod/sard/salmon 6x50g,7d769a7898623a873855ea9672ffddfd3e185d216b71fc3b5a8dc3996e78aae5,5610be2b7e5bd6934eef1f4501d180bd1ef7d8834e89600b5b378ff6f1743609,8bf754f57d95e45c904217a724480ad69378d5ab5a9f243a6ceeec62d8838662,5ffc1f1d48e32ed011478c1f2824079746972ee0f82c7ad844e10077e505597e,300.0000
a8d8c3c8d56e3939e2f74e5ed488e0ac2049183ee7718360e4bcca14334b9e34,1683.0000,1607,JS 1+ meat &fish selctn in jelly 48x100g,d73c702859f430f489868ba4728c557296ce1b8015409af46a52e9bd8f1e39dc,5610be2b7e5bd6934eef1f4501d180bd1ef7d8834e89600b5b378ff6f1743609,8bf754f57d95e45c904217a724480ad69378d5ab5a9f243a6ceeec62d8838662,5ffc1f1d48e32ed011478c1f2824079746972ee0f82c7ad844e10077e505597e,4.8000
7a2d229d4004712733a778470ce7d9a43bdc669d678a0d748d4a21c040096f35,5082.0000,1477,Gourmet Gold ocean fish paté 85g,7d769a7898623a873855ea9672ffddfd3e185d216b71fc3b5a8dc3996e78aae5,5610be2b7e5bd6934eef1f4501d180bd1ef7d8834e89600b5b378ff6f1743609,8bf754f57d95e45c904217a724480ad69378d5ab5a9f243a6ceeec62d8838662,5ffc1f1d48e32ed011478c1f2824079746972ee0f82c7ad844e10077e505597e,85.0000
6c199c33af6a568e5e052b95a737316c823568443d1b8c95e4823542496b12b1,1504.0000,1182,Gourmet Perle country medley 12x85g,7d769a7898623a873855ea9672ffddfd3e185d216b71fc3b5a8dc3996e78aae5,5610be2b7e5bd6934eef1f4501d180bd1ef7d8834e89600b5b378ff6f1743609,8bf754f57d95e45c904217a724480ad69378d5ab5a9f243a6ceeec62d8838662,5ffc1f1d48e32ed011478c1f2824079746972ee0f82c7ad844e10077e505597e,1.0200
aa0cf80730808e3b6cbe024964ca74b8db3e4a5ddcf2a393b681b38e63bbe09b,1764.0000,1481,Gourmet Perle connoisseur's duo 12x85g,7d769a7898623a873855ea9672ffddfd3e185d216b71fc3b5a8dc3996e78aae5,5610be2b7e5bd6934eef1f4501d180bd1ef7d8834e89600b5b378ff6f1743609,8bf754f57d95e45c904217a724480ad69378d5ab5a9f243a6ceeec62d8838662,5ffc1f1d48e32ed011478c1f2824079746972ee0f82c7ad844e10077e505597e,1.0200
a639fd805824b8b347bcd968102a7fb801f8794961013c24d2fa4ed2a42fd8d7,1214.0000,976,Gourmet Gold Delights chicken 8x85g,7d769a7898623a873855ea9672ffddfd3e185d216b71fc3b5a8dc3996e78aae5,5610be2b7e5bd6934eef1f4501d180bd1ef7d8834e89600b5b378ff6f1743609,8bf754f57d95e45c904217a724480ad69378d5ab5a9f243a6ceeec62d8838662,5ffc1f1d48e32ed011478c1f2824079746972ee0f82c7ad844e10077e505597e,810.0000
ea7105cbf302c2a5fb0906f6224cc6e11b632da94cf54a4fe5667ed3a5460631,2399.0000,1766,Gourmet Gold savoury cake meat/fsh 8x85g,7d769a7898623a873855ea9672ffddfd3e185d216b71fc3b5a8dc3996e78aae5,5610be2b7e5bd6934eef1f4501d180bd1ef7d8834e89600b5b378ff6f1743609,8bf754f57d95e45c904217a724480ad69378d5ab5a9f243a6ceeec62d8838662,5ffc1f1d48e32ed011478c1f2824079746972ee0f82c7ad844e10077e505597e,680.0000
ec3f53f2ebb18b4d9f120bf42524281cbfda3f371f3a555628e84d2ed87a032e,1528.0000,1095,Gourmet Gold senior salmon 8x85g,7d769a7898623a873855ea9672ffddfd3e185d216b71fc3b5a8dc3996e78aae5,5610be2b7e5bd6934eef1f4501d180bd1ef7d8834e89600b5b378ff6f1743609,8bf754f57d95e45c904217a724480ad69378d5ab5a9f243a6ceeec62d8838662,5ffc1f1d48e32ed011478c1f2824079746972ee0f82c7ad844e10077e505597e,680.0000
f2ff372b8809071c42b5ac386dfa059d59870bcca4b1c116055d60fe169a7115,3537.0000,2179,Felix soup fish selection 6x48g,55c755086c12e995bcc794412f1d98be33be98a61f81285549c6fbbc100d262a,5610be2b7e5bd6934eef1f4501d180bd1ef7d8834e89600b5b378ff6f1743609,8bf754f57d95e45c904217a724480ad69378d5ab5a9f243a6ceeec62d8838662,5ffc1f1d48e32ed011478c1f2824079746972ee0f82c7ad844e10077e505597e,288.0000
3e2c3d07859dbc0fc23919c3c1ebf6132457c68d79221eb482c49673ae849854,2413.0000,2039,Sheba select slices gravy collctn 12x85g,7d769a7898623a873855ea9672ffddfd3e185d216b71fc3b5a8dc3996e78aae5,5610be2b7e5bd6934eef1f4501d180bd1ef7d8834e89600b5b378ff6f1743609,8bf754f57d95e45c904217a724480ad69378d5ab5a9f243a6ceeec62d8838662,5ffc1f1d48e32ed011478c1f2824079746972ee0f82c7ad844e10077e505597e,1.2000
95e47baadc201323688ee969fa5767cd48288c8bb60ea9e4a14dc28b3fb883d2,3130.0000,2490,Whiskas 7+ Cat Pouch Poultry JEL 12x85g,d73c702859f430f489868ba4728c557296ce1b8015409af46a52e9bd8f1e39dc,5610be2b7e5bd6934eef1f4501d180bd1ef7d8834e89600b5b378ff6f1743609,8bf754f57d95e45c904217a724480ad69378d5ab5a9f243a6ceeec62d8838662,5ffc1f1d48e32ed011478c1f2824079746972ee0f82c7ad844e10077e505597e,1020.0000
b5619446e6fb313dd49a195203be02b17ac4b9f38e9ade00e382a7209cc633a9,1656.0000,1403,Felix AGAIL d/delics ocean 12x100g,55c755086c12e995bcc794412f1d98be33be98a61f81285549c6fbbc100d262a,5610be2b7e5bd6934eef1f4501d180bd1ef7d8834e89600b5b378ff6f1743609,8bf754f57d95e45c904217a724480ad69378d5ab5a9f243a6ceeec62d8838662,5ffc1f1d48e32ed011478c1f2824079746972ee0f82c7ad844e10077e505597e,1.2000
6433ca175221d5fc16dfd95e71882e2a5fab9a8de3fc0671c767eae917bead04,3997.0000,3329,Felix AGAIL ocean feasts jelly 12x100g,55c755086c12e995bcc794412f1d98be33be98a61f81285549c6fbbc100d262a,5610be2b7e5bd6934eef1f4501d180bd1ef7d8834e89600b5b378ff6f1743609,8bf754f57d95e45c904217a724480ad69378d5ab5a9f243a6ceeec62d8838662,5ffc1f1d48e32ed011478c1f2824079746972ee0f82c7ad844e10077e505597e,1.2000
c903a0edb4eea1d4f244541c66e3be6446d29b74ddbc021ff523b703796da1d0,7951.0000,5251,Gourmet mon petit poultry 6x50g,7d769a7898623a873855ea9672ffddfd3e185d216b71fc3b5a8dc3996e78aae5,5610be2b7e5bd6934eef1f4501d180bd1ef7d8834e89600b5b378ff6f1743609,8bf754f57d95e45c904217a724480ad69378d5ab5a9f243a6ceeec62d8838662,5ffc1f1d48e32ed011478c1f2824079746972ee0f82c7ad844e10077e505597e,300.0000
